Buongiorno, ho sottoscritto 6 mesi di abbonamento per mio figio a Focus junior il 10/6	OrdiniAccountPersonali
e' possibile cambiare l'username?	FAQ
Sto cercando di fare un ordine a Sale & Pepe digitale...	OrdiniAccountPersonali
senta, io ho ricevuto una mail che confermava la registrazione del rinnovo di un abbonamento	OrdiniAccountPersonali
Buongiorno , sono la titolare di un abbonamento ad abitare country sottoscritto a gennaio 2016 il mio codice cliente è 59634252. con disappunto vi segnalo che ad oggi ho ricevuto solo 2 numeri della rivista ed oltretutto parecchi giorni dopo della sua uscita in edicola. Rimango in attesa di un vs. riscontro. Alessia Zavka	OrdiniAccountPersonali
Devo disattivare un abbonamento	FAQ
BUONA SERA AVREI BISOGNO DELLA FATTURA RELATIVA AI MIEI ACQUISTI DEL 07/12/2015. GRAZIE	OrdiniAccountPersonali
errore su ordine	OrdiniAccountPersonali
Buongiorno, ricevo il Corriere della Sera presso la mia edicola avendo fatto un abbonamento via telefono con Vostro operatore. Qualora volessi rinnovarlo, utilizzando il sito abbonamenti.it, mi confermate che continuerei a ricevere il giornale preso l'edicola?	OrdiniAccountPersonali
Buongiorno, ricevo il Corriere della Sera presso la mia edicola avendo sottoscritto abbonamento via telefono con Vostro operatore. Qualora volessi rinnovarlo utilizzando la funzione del sito abbonamenti.it, mi confermate che continuerei a ricevere il quotidiano in edicola domenica esclusa? Grazie fin d'ora	OrdiniAccountPersonali
Buongiorno, vorrei regalare l'abbonamento ad una rivista che parta però dal 19 Agosto 2016 (Data del suo compleanno). come faccio?	OrdiniAccountPersonali
NON HO RICEVUTO NESSUNA MAIL DI CONFERMA	OrdiniAccountPersonali
ho gia critto una mail ma non ho avuto risposta	OrdiniAccountPersonali
vorrei sapere se il mio abbonamento è scaduto il mio codice cliente è41008033	OrdiniAccountPersonali
Devo rinnovare l'abbonamento a Quattro Zampe	FAQ
non trovo la rivista	FAQ
non mi è ancora arrivata copia di casafacile .Ho fatto abbonamentoil mio codice cliente è59800891	OrdiniAccountPersonali
dove sono le mie riviste cartacee non le ho ancora ricevute?	OrdiniAccountPersonali
Contatto email x CHI	FAQ
Non ho ancora ricevuto la rivista	OrdiniAccountPersonali
Non mi sono arrivati due numeri di tv sorrisi e canzoni	OrdiniAccountPersonali
NON riesco ad entrare col login	FAQ
Buongiorno, è possibile avere la fattura? Se si, come? Grazie	OrdiniAccountPersonali
posso abbonarmi a topolino solo per sei mesi?	FAQ
Email	FAQ
non ho mai ricevuto le mie riviste  al mio indirizzo Claudia Cornelli via beita n.10 Palazzago  bg dove sono?	OrdiniAccountPersonali
Vorrei cambiare intestatario abbonamento	FAQ
Buongiorno, attendo il ricevimento del nr. 38 di 100 Idee per Ristrutturare entro il 20/06/2016 ma no ho ricevuto nulla. Il mio codice cliente è 59770423. Attendo un vs. cortese riscontro. Grazie	OrdiniAccountPersonali
inserendo il codice cliente e la provincia non riesco ad entrare	FAQ
dove trovo Chi	FAQ
in che sezione si trova CHI	FAQ
ho sottoscritto un abbonamento a focus junior tramite cartolina allegata al giornalino ma non ho ricevuto il bollettino postale con cui versare i soldi..mi arriverà con la prima copia dell' abbonamento cioè il 13 agosto 2016?	OrdiniAccountPersonali
Non ho ricevuto una copia di tv sorrisi e canzoni	OrdiniAccountPersonali
ok... come non detto! Non mi abbonerò più a nessuna vostra rivista (codice abbonato 386031074TV)	FAQ
non visualizzo più panorama online	FAQ
dove si inserisce il pin?	FAQ
non ho ricevuto un numero	OrdiniAccountPersonali
salve ho regalato l'abbonamento Focus Pico a mia nipote	OrdiniAccountPersonali
posso scrivere un biglietto quando regalo un abbonamento?	FAQ
ho in premio donna moderna da aliper come confermo il mio premio?	OrdiniAccountPersonali
non ho ancora ricevuto alcun numero .il primo doveva essere quello del 14 luglio...è normale queso ritardo?	OrdiniAccountPersonali
per cancellare il rinnovo automatico come faccio	FAQ
cancellare rinnovo automatico	FAQ
